topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
SW,23391,374256,32,28,36,0.6434,0.0014,0.295996662,5.361365537,0.6835,-0.0002,29,17,38,0.1041,10953,0.4683,148,0.4055,14.7995,59.2759
SW,23391,467820,40,36,44,0.7867,0.0017,0.319819072,4.879579513,0.6886,0.0005,36,21,34,0.0932,11415,0.488,150,0.411,22.3371,68.0506
SW,23391,444429,38,33,43,0.7502,0.0016,0.314343091,4.981625988,0.6876,-0.0024,34,20,35,0.0959,11280,0.4822,158,0.4329,20.3774,66.1074
SW,23391,280692,24,21,28,0.4827,0.001,0.265284233,6.162539956,0.6758,-0.0001,21,13,48,0.1315,9819,0.4198,171,0.4685,9.0686,50.5548
SW,23391,257301,22,19,26,0.4197,0.0009,0.255995053,6.457741275,0.6741,-0.0019,19,12,50,0.137,9421,0.4028,168,0.4603,8.1258,48.5609
SW,23391,116955,10,7,13,0.1978,0.0004,0.171820741,11.38636423,0.6281,0.0034,8,6,108,0.2959,5184,0.2216,232,0.6356,1.9999,35.6238
SW,23391,93564,8,5,11,0.1554,0.0003,0.147998331,14.31678127,0.6068,0.0021,6,5,149,0.4082,3471,0.1484,330,0.9041,1.4545,33.2418
SW,22183,310562,28,24,33,0.5704,0.0013,0.283345065,5.662816411,0.6805,-0.003,25,15,42,0.1151,9967,0.4493,164,0.4493,27.6659,95.8391
SW,22183,221830,20,16,23,0.3817,0.0009,0.247219382,6.764921101,0.671,-0.0026,17,11,55,0.1507,8620,0.3886,183,0.5014,7.1106,88.4917
SW,22183,177464,16,13,20,0.3227,0.0007,0.223261349,7.777764785,0.6596,0.0031,14,9,67,0.1836,7748,0.3493,189,0.5178,8.7476,45.8925
SW,22183,377111,34,29,38,0.6799,0.0015,0.304190823,5.184087403,0.6846,0,31,18,37,0.1014,10385,0.4682,156,0.4274,17.6672,63.6516
SW,22183,66549,6,4,8,0.1174,0.0003,0.117953622,20.49216995,0.5666,-0.0081,4,4,237,0.6493,2008,0.0905,546,1.4959,1.0676,58.5284
SW,22183,155281,14,10,17,0.279,0.0006,0.208924616,8.541546532,0.6532,-0.0011,11,8,74,0.2027,6997,0.3154,194,0.5315,7.5838,101.1516
SW,22183,133098,12,9,15,0.2389,0.0005,0.192374072,9.624488595,0.6423,0.0025,10,7,92,0.2521,5961,0.2687,214,0.5863,5.6793,94.1657
SW,22183,199647,18,14,22,0.3621,0.0008,0.235907244,7.207937053,0.6648,-0.0001,15,10,60,0.1644,7942,0.358,186,0.5096,11.9097,66.971
SW,22183,332745,30,25,34,0.5996,0.0014,0.290752555,5.481992698,0.6822,0.0019,27,16,40,0.1096,10226,0.461,160,0.4384,14.7942,134.8365
SW,22183,288379,26,22,30,0.5282,0.0012,0.275388388,5.871957072,0.6774,-0.001,23,14,44,0.1205,9770,0.4404,167,0.4575,26.8073,153.5087
SW,22183,399294,36,32,40,0.7182,0.0016,0.310327694,5.059562151,0.6863,0.0004,33,19,36,0.0986,10703,0.4825,151,0.4137,43.5341,170.6526
SW,22183,354928,32,28,36,0.6273,0.0014,0.297681799,5.323824568,0.6842,-0.003,29,17,38,0.1041,10429,0.4701,154,0.4219,32.5155,144.4261
SW,22183,443660,40,36,45,0.786,0.0018,0.321639832,4.846684718,0.6882,-0.0032,36,21,34,0.0932,10773,0.4856,152,0.4164,48.3082,162.945
SW,22183,421477,38,34,42,0.737,0.0017,0.316132676,4.947751013,0.6879,-0.0005,34,20,34,0.0932,10758,0.485,148,0.4055,42.1042,159.7122
SW,22183,266196,24,20,28,0.5026,0.0011,0.266794521,6.117187926,0.6745,-0.0004,21,14,46,0.126,9454,0.4262,161,0.4411,19.6707,121.7542
SW,22183,244013,22,18,26,0.4466,0.001,0.257452457,6.409491233,0.6724,-0.0002,19,12,50,0.137,9032,0.4072,172,0.4712,17.0632,81.7532
SW,22183,110915,10,7,13,0.1987,0.0005,0.172798933,11.2892638,0.6292,-0.0034,8,6,108,0.2959,4736,0.2135,242,0.663,2.0723,40.0707
SW,22183,88732,8,6,10,0.154,0.0004,0.148840899,14.190875,0.608,-0.0004,6,5,143,0.3918,3871,0.1745,291,0.7973,1.4658,36.7576
SW,37988,531832,28,23,32,0.5582,0.0007,0.267873518,6.08521455,0.6806,-0.0011,25,15,45,0.1233,17126,0.4508,170,0.4658,18.2125,94.3589
SW,37988,341892,18,14,22,0.355,0.0005,0.223025953,7.789221386,0.6652,0.0053,16,11,64,0.1753,14351,0.3778,182,0.4986,12.8003,75.4032
SW,37988,151952,8,5,10,0.1575,0.0002,0.14071371,15.49206109,0.6066,0.0011,6,5,157,0.4301,6117,0.161,303,0.8301,2.2818,54.6322
SW,37988,417868,22,18,27,0.4439,0.0006,0.243394728,6.908387472,0.6729,0,19,12,54,0.1479,15430,0.4062,173,0.474,12.6849,80.5114
SW,37988,493844,26,22,30,0.5156,0.0007,0.2603513,6.315711871,0.6784,0.0007,23,14,49,0.1342,16642,0.4381,165,0.4521,17.5426,89.5083
SW,37988,569820,30,26,35,0.598,0.0008,0.274876535,5.88597862,0.6823,-0.0012,27,16,42,0.1151,17458,0.4596,164,0.4493,22.7814,95.4668
SW,37988,379880,20,16,23,0.3894,0.0005,0.233720413,7.300435347,0.6703,0.0014,17,11,60,0.1644,14942,0.3933,176,0.4822,11.2277,77.8578
