topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
R,186218,2234616,24,3,48,24.13,0.0001,0.217183147,3.905528718,0.0001,0,17,3,27,0.074,99516,0.5344,167,0.4575,27.263,469.3108
R,186218,1210417,13,0,31,12.9432,0.0001,0.163597247,4.750460534,0.0001,0.0005,9,3,38,0.1041,90848,0.4879,176,0.4822,13.5167,331.467
R,186218,931090,10,0,28,9.9573,0.0001,0.140666367,5.261317767,0,0.0008,7,3,45,0.1233,85200,0.4575,181,0.4959,9.3547,295.6203
R,186218,3351924,36,14,68,35.9669,0.0002,0.252621174,3.517820705,0.0002,-0.0001,26,3,23,0.063,101810,0.5467,174,0.4767,42.8048,598.6488
R,180911,3346853,37,15,68,37.0001,0.0002,0.255661916,3.488993557,0.0002,-0.0002,27,3,22,0.0603,98954,0.547,169,0.463,44.1773,601.1999
R,180911,814099,9,0,24,9.0184,0,0.131790743,5.493709988,0,-0.0014,6,3,47,0.1288,82177,0.4542,185,0.5068,9.1893,279.0773
R,180911,1899565,21,5,45,20.9559,0.0001,0.206033003,4.051066432,0.0001,-0.0007,15,3,29,0.0795,95533,0.5281,171,0.4685,23.38,408.9292
R,180911,723644,8,0,24,8.034,0,0.12147037,5.793748742,0,0.0001,5,3,52,0.1425,77541,0.4286,200,0.5479,9.001,262.9988
R,180911,995010,11,0,30,10.9722,0.0001,0.14937399,5.053377955,0.0001,0.0012,7,3,41,0.1123,85632,0.4733,184,0.5041,10.187,301.222
R,180911,542733,6,0,21,6.0392,0,0.096262991,6.697728687,0,0.0005,4,3,65,0.1781,60178,0.3326,214,0.5863,6.0688,238.9949
R,180911,3165942,35,10,63,34.8797,0.0002,0.250792754,3.535454382,0.0002,0.0003,25,3,23,0.063,98685,0.5455,165,0.4521,40.234,575.4083
R,180911,2442298,27,7,52,26.8691,0.0001,0.228053769,3.775451183,0.0001,-0.0004,19,3,26,0.0712,97185,0.5372,169,0.463,30.9531,484.8554
R,180911,2532754,28,9,53,28.0775,0.0002,0.231240406,3.739332642,0.0002,0.0006,20,3,25,0.0685,97704,0.5401,167,0.4575,30.5204,496.5312
R,180911,1085466,12,0,30,11.9956,0.0001,0.156998176,4.885758101,0.0001,-0.001,8,3,40,0.1096,87609,0.4843,182,0.4986,11.2741,315.7425
R,180911,1537743,17,3,42,16.9724,0.0001,0.187517599,4.324421082,0.0001,-0.0006,12,3,32,0.0877,93380,0.5162,176,0.4822,18.2219,376.2737
R,180911,2713665,30,8,56,29.9542,0.0002,0.237285723,3.673144412,0.0002,-0.0005,21,3,24,0.0658,97862,0.5409,169,0.463,33.4757,517.6353
R,180911,2351843,26,8,52,26.2051,0.0001,0.224746891,3.813870807,0.0001,0.0006,18,3,26,0.0712,96919,0.5357,171,0.4685,30.0487,479.4847
R,180911,3527764,39,14,68,39.0965,0.0002,0.260274684,3.446414773,0.0002,-0.0002,29,3,22,0.0603,99313,0.549,163,0.4466,49.1345,625.252
R,180911,2170932,24,6,49,24.0459,0.0001,0.217733361,3.898676877,0.0001,0.0012,17,3,27,0.074,96721,0.5346,175,0.4795,26.121,461.9191
R,180911,1175921,13,1,31,12.9682,0.0001,0.164011669,4.742247157,0.0001,-0.0001,9,3,38,0.1041,89505,0.4947,178,0.4877,12.5282,327.0838
R,180911,904555,10,0,28,9.9977,0.0001,0.141022733,5.252435387,0.0001,-0.0018,7,3,44,0.1205,83246,0.4601,196,0.537,9.5979,280.6875
R,180911,3256398,36,13,68,35.8495,0.0002,0.253261167,3.511702081,0.0002,0.0002,26,3,23,0.063,98724,0.5457,163,0.4466,42.0815,597.7802
R,189640,3508340,37,13,68,37.2108,0.0002,0.254610649,3.498890365,0.0002,-0.0002,27,3,23,0.063,103666,0.5466,165,0.4521,47.295,638.5714
R,189640,853380,9,0,25,8.9857,0,0.131248874,5.508627937,0,-0.0001,6,3,48,0.1315,85717,0.452,196,0.537,9.4282,294.3627
R,189640,1991220,21,3,45,20.9356,0.0001,0.20518582,4.062670501,0.0001,-0.0001,15,3,29,0.0795,100192,0.5283,169,0.463,23.7415,445.5326
R,189640,758560,8,0,24,8.015,0,0.120970885,5.809168691,0,0.0006,5,3,51,0.1397,80262,0.4232,193,0.5288,8.3008,281.2961
R,189640,1043020,11,0,29,11.0091,0.0001,0.14875981,5.067445528,0.0001,0.0003,7,3,43,0.1178,86843,0.4579,192,0.526,10.7809,317.1612
R,189640,568920,6,0,20,6.0137,0,0.095867158,6.714278226,0,-0.0003,4,3,65,0.1781,69812,0.3681,208,0.5699,6.2707,249.185
R,189640,3318700,35,12,64,35.158,0.0002,0.24976151,3.545501188,0.0002,0.0003,25,3,23,0.063,103700,0.5468,172,0.4712,43.5837,611.0689
R,189640,2560140,27,7,55,27.1445,0.0001,0.227116032,3.786247389,0.0001,0.0008,19,3,26,0.0712,101883,0.5372,164,0.4493,33.7773,524.117
R,189640,2654960,28,7,54,27.98,0.0001,0.230289547,3.750018989,0.0001,0.0009,20,3,26,0.0712,102255,0.5392,171,0.4685,33.5466,534.2791
